Time,Data
14:42:11,AXT= -0.72 AYT= 2.58 AZT= 2.68 GX= -6.98 GY= 0.08 GZ= 0.48 AXL= 0.07 AYL= -0.46 AZL= -8.74 GXYZ= 6.99
14:42:11,AXYZ= 0.46
14:42:11,the car stop moving
14:42:12,AXT= -0.47 AYT= 2.56 AZT= 2.61 GX= -6.92 GY= 0.21 GZ= 0.61 AXL= 0.03 AYL= -0.45 AZL= -8.74 GXYZ= 6.95
14:42:12,AXYZ= 0.45
14:42:12,the car stop moving
14:42:12,AXT= -0.91 AYT= 3.05 AZT= 3.18 GX= -7.02 GY= 0.15 GZ= 0.79 AXL= 0.10 AYL= -0.54 AZL= -8.74 GXYZ= 7.07
14:42:12,AXYZ= 0.55
14:42:12,the car stop moving
14:42:12,AXT= -0.84 AYT= 2.96 AZT= 3.08 GX= -6.97 GY= 0.31 GZ= 0.57 AXL= 0.09 AYL= -0.52 AZL= -8.73 GXYZ= 7.00
14:42:12,AXYZ= 0.53
14:42:12,the car stop moving
14:42:12,AXT= -0.91 AYT= 3.34 AZT= 3.46 GX= -6.95 GY= 0.28 GZ= 0.89 AXL= 0.10 AYL= -0.59 AZL= -8.74 GXYZ= 7.02
14:42:12,AXYZ= 0.60
14:42:12,the car stop moving
14:42:12,AXT= -0.96 AYT= 2.87 AZT= 3.02 GX= -6.81 GY= 0.19 GZ= 0.63 AXL= 0.11 AYL= -0.51 AZL= -8.73 GXYZ= 6.84
14:42:12,AXYZ= 0.52
14:42:12,the car stop moving
14:42:12,AXT= -0.69 AYT= 3.06 AZT= 3.14 GX= -6.95 GY= 0.05 GZ= 0.81 AXL= 0.06 AYL= -0.54 AZL= -8.74 GXYZ= 7.00
14:42:12,AXYZ= 0.54
14:42:12,the car stop moving
14:42:12,AXT= -0.98 AYT= 2.78 AZT= 2.95 GX= -6.99 GY= 0.36 GZ= 0.68 AXL= 0.12 AYL= -0.49 AZL= -8.74 GXYZ= 7.03
14:42:12,AXYZ= 0.51
14:42:12,the car stop moving
14:42:12,AXT= -0.74 AYT= 3.01 AZT= 3.10 GX= -6.97 GY= 0.21 GZ= 0.69 AXL= 0.07 AYL= -0.53 AZL= -8.74 GXYZ= 7.01
14:42:12,AXYZ= 0.53
14:42:12,the car stop moving
